Dataset x,Dataset y
4.838709677419E-2,0.000000000000E0
6.012808349146E-2,5.882352941176E-2
8.403700189753E-2,1.058823529412E-1
9.588472485769E-2,1.470588235294E-1
1.078747628083E-1,1.647058823529E-1
1.197580645161E-1,2.000000000000E-1
1.438092979127E-1,2.235294117647E-1
1.435958254269E-1,2.588235294118E-1
1.555147058824E-1,2.882352941176E-1
1.553368121442E-1,3.176470588235E-1
1.672912713472E-1,3.411764705882E-1
1.671489563567E-1,3.647058823529E-1
1.912001897533E-1,3.882352941176E-1
2.394449715370E-1,4.117647058824E-1
2.755929791271E-1,4.352941176471E-1
2.996442125237E-1,4.588235294118E-1
3.358633776091E-1,4.705882352941E-1
3.841437381404E-1,4.882352941176E-1
3.962049335863E-1,4.941176470588E-1
3.959914611006E-1,5.294117647059E-1
4.320683111954E-1,5.647058823529E-1
4.440583491461E-1,5.823529411765E-1
4.680740037951E-1,6.117647058824E-1
4.800640417457E-1,6.294117647059E-1
5.041508538899E-1,6.470588235294E-1
5.160697343454E-1,6.764705882353E-1
5.158562618596E-1,7.117647058824E-1
6.125237191651E-1,7.294117647059E-1
6.486005692600E-1,7.647058823529E-1
7.089065464896E-1,7.941176470588E-1
7.451257115750E-1,8.058823529412E-1
7.933349146110E-1,8.352941176471E-1
8.294473434535E-1,8.647058823529E-1
8.898600569260E-1,8.764705882353E-1
9.502371916509E-1,8.941176470588E-1
1.022711100569E0,9.117647058824E-1
1.107281783681E0,9.294117647059E-1
1.191816888046E0,9.529411764706E-1
1.276387571157E0,9.705882352941E-1
1.336729127135E0,9.941176470588E-1
1.397177419355E0,1.000000000000E0
1.578451138520E0,1.029411764706E0
1.638899430740E0,1.035294117647E0
1.687179791271E0,1.052941176471E0
1.808040796964E0,1.070588235294E0
1.940962998102E0,1.094117647059E0
2.049798387097E0,1.100000000000E0
2.122379032258E0,1.100000000000E0
2.182791745731E0,1.111764705882E0
2.243168880455E0,1.129411764706E0
2.424656072106E0,1.123529411765E0
2.606072106262E0,1.129411764706E0
2.799620493359E0,1.129411764706E0
2.908527039848E0,1.123529411765E0
3.005301233397E0,1.123529411765E0
3.077917457306E0,1.117647058824E0
3.138223434535E0,1.147058823529E0
3.174371442125E0,1.170588235294E0
3.295339184061E0,1.170588235294E0
3.404210151803E0,1.170588235294E0
3.488851992410E0,1.176470588235E0
3.524928842505E0,1.211764705882E0
3.694248102467E0,1.217647058824E0
3.693963472486E0,1.264705882353E0
4.020576375712E0,1.264705882353E0
4.044414136622E0,1.323529411765E0
4.104328747628E0,1.417647058824E0
5.797877134725E0,1.417647058824E0
4.975296489564E0,1.417647058824E0
